category,vec_1,vec_2,vec_3,true,pred,similarity
capital-common-countries,Athens,Greece,Baghdad,Iraq,Iraqi,0.635187029838562
capital-common-countries,Athens,Greece,Bangkok,Thailand,Thailand,0.7137669920921326
capital-common-countries,Athens,Greece,Beijing,China,China,0.7235777378082275
capital-common-countries,Athens,Greece,Berlin,Germany,Germany,0.673462450504303
capital-common-countries,Athens,Greece,Bern,Switzerland,Switzerland,0.4919748306274414
capital-common-countries,Athens,Greece,Cairo,Egypt,Egypt,0.7527808547019958
capital-common-countries,Athens,Greece,Canberra,Australia,Australia,0.5837326049804688
capital-common-countries,Athens,Greece,Hanoi,Vietnam,Viet_Nam,0.6276342272758484
capital-common-countries,Athens,Greece,Havana,Cuba,Cuba,0.6460990905761719
capital-common-countries,Athens,Greece,Helsinki,Finland,Finland,0.6899983286857605
capital-common-countries,Athens,Greece,Islamabad,Pakistan,Pakistan,0.7233325839042664
capital-common-countries,Athens,Greece,Kabul,Afghanistan,Afghan,0.6160915493965149
capital-common-countries,Athens,Greece,London,England,Britain,0.5646187663078308
capital-common-countries,Athens,Greece,Madrid,Spain,Spain,0.7036614418029785
capital-common-countries,Athens,Greece,Moscow,Russia,Russia,0.7382972240447998
capital-common-countries,Athens,Greece,Oslo,Norway,Norway,0.6470743417739868
capital-common-countries,Athens,Greece,Ottawa,Canada,Canada,0.5912168622016907
capital-common-countries,Athens,Greece,Paris,France,France,0.672462522983551
capital-common-countries,Athens,Greece,Rome,Italy,Italy,0.6826189756393433
capital-common-countries,Athens,Greece,Stockholm,Sweden,Sweden,0.6757242679595947
capital-common-countries,Athens,Greece,Tehran,Iran,Iran,0.7671369314193726
capital-common-countries,Athens,Greece,Tokyo,Japan,Japan,0.725609540939331
capital-common-countries,Baghdad,Iraq,Bangkok,Thailand,Thailand,0.6745353937149048
capital-common-countries,Baghdad,Iraq,Beijing,China,China,0.6915647983551025
capital-common-countries,Baghdad,Iraq,Berlin,Germany,Germany,0.6057409644126892
capital-common-countries,Baghdad,Iraq,Bern,Switzerland,coach_Bobby_Curlings,0.4347156584262848
capital-common-countries,Baghdad,Iraq,Cairo,Egypt,Egypt,0.684848964214325
capital-common-countries,Baghdad,Iraq,Canberra,Australia,Mr_Rudd,0.6186109185218811
capital-common-countries,Baghdad,Iraq,Hanoi,Vietnam,Vietnam,0.7493553757667542
capital-common-countries,Baghdad,Iraq,Havana,Cuba,Cuba,0.7133256196975708
capital-common-countries,Baghdad,Iraq,Helsinki,Finland,Finland,0.597256064414978
capital-common-countries,Baghdad,Iraq,Islamabad,Pakistan,Pakistan,0.7466937303543091
capital-common-countries,Baghdad,Iraq,Kabul,Afghanistan,Afghanistan,0.8359358906745911
capital-common-countries,Baghdad,Iraq,London,England,Britain,0.5853632092475891
capital-common-countries,Baghdad,Iraq,Madrid,Spain,Spain,0.6144677996635437
capital-common-countries,Baghdad,Iraq,Moscow,Russia,Russia,0.7236211895942688
capital-common-countries,Baghdad,Iraq,Oslo,Norway,Norway,0.5987578630447388
